state,bus_route_name,bus_route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8681,Rajdhani (AC Semi Sleeper 2+2),13:10,03h 50m,17:00,3.8,389,35
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8617,Super Luxury (Non AC Seater 2+2 Push Back),13:20,04h 10m,17:30,3.7,320,24
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8736,Super Luxury (Non AC Seater 2+2 Push Back),13:30,04h 20m,17:50,3.5,320,24
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8977,Super Luxury (Non AC Seater 2+2 Push Back),13:50,03h 55m,17:45,3.7,320,28
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64020,Rajdhani (AC Semi Sleeper 2+2),14:00,04h 00m,18:00,3.9,389,25
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64863,Super Luxury (Non AC Seater 2+2 Push Back),14:30,04h 00m,18:30,4.3,320,31
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8665,LAHARI A/C SLEEPER CUM SEATER,15:00,05h 00m,20:00,4.1,389,25
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8969,Super Luxury (Non AC Seater 2+2 Push Back),15:15,04h 15m,19:30,4.1,320,31
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8929,Super Luxury (Non AC Seater 2+2 Push Back),15:30,04h 00m,19:30,3.7,320,28
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8698,RAJDHANI (A.C. Semi Sleeper),15:30,04h 00m,19:30,3.6,389,33
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8623,Rajdhani (AC Semi Sleeper 2+2),16:00,03h 20m,19:20,4.2,389,33
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 34331,LAHARI A/C SLEEPER CUM SEATER,16:20,03h 30m,19:50,1.8,389,24
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8657,Rajdhani (AC Semi Sleeper 2+2),17:00,03h 20m,20:20,3.7,389,33
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1319,LAHARI A/C SLEEPER CUM SEATER,17:10,03h 35m,20:45,3.4,389,33
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8613,Super Luxury (Non AC Seater 2+2 Push Back),17:20,04h 10m,21:30,3.9,320,26
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8675,RAJDHANI (A.C. Semi Sleeper),17:30,04h 00m,21:30,4.0,389,37
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),18:00,03h 20m,21:20,3.4,389,35
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1952,LAHARI A/C SLEEPER CUM SEATER,18:10,03h 35m,21:45,3.3,389,38
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8822,Super Luxury (Non AC Seater 2+2 Push Back),18:15,03h 45m,22:00,3.4,320,31
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 4172,Rajdhani (AC Semi Sleeper 2+2),18:30,04h 00m,22:30,3.3,389,31
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64022,RAJDHANI (A.C. Semi Sleeper),19:00,03h 30m,22:30,3.1,389,35
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8677,Super Luxury (Non AC Seater 2+2 Push Back),19:30,04h 10m,23:40,3.2,320,31
